TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
659,4.8067,4.5762,0.9025,0.2842,0.8565,11.3073,0.0000,163,False
660,4.8307,4.5493,0.9982,0.7387,0.6714,10.5845,0.0000,164,False
661,4.7957,4.5631,0.8981,0.5046,0.7429,12.4755,0.0000,163,False
662,4.7752,4.5230,0.9015,0.5954,0.6770,11.4396,0.0000,162,False
663,4.8262,4.6106,0.8806,0.0716,0.8777,11.5155,0.0000,167,False
664,4.8268,4.6057,0.8591,0.2826,0.8113,10.9663,0.0004,164,False
665,4.7986,4.5685,0.9047,0.1067,0.8984,10.8927,0.0000,164,False
666,4.7781,4.5167,0.9079,0.5215,0.7431,11.1602,0.0000,162,False
667,4.8402,4.5937,0.8332,0.3580,0.7523,11.3805,0.0000,166,False
668,4.7844,4.5254,0.8962,0.4873,0.7522,11.3799,0.0037,162,False
669,4.7825,4.5530,0.8659,0.1609,0.8508,11.7297,0.0000,165,False
670,4.8382,4.5278,0.9966,0.8383,0.5389,10.5353,0.0093,168,False
671,4.7683,4.5217,0.9262,-0.2011,0.9041,10.5782,0.0000,164,False
672,4.7643,4.4823,0.9541,0.7204,0.6256,11.3468,0.0000,163,False
673,4.8454,4.6062,0.8163,0.2884,0.7636,11.4891,0.0000,165,False
674,4.8419,4.6075,0.8512,0.2282,0.8201,11.0786,0.0000,165,False
675,4.8229,4.5807,0.8942,0.0546,0.8925,11.4685,0.0000,166,False
676,4.8215,4.5810,0.8914,0.2917,0.8424,11.5628,0.0033,165,False
677,4.8270,4.6118,0.8598,0.2223,0.8306,11.4898,0.0000,168,False
678,4.7891,4.5301,0.9062,-0.0010,0.9062,11.2997,0.0000,165,False
679,4.8879,4.6579,0.8860,0.3198,0.8262,11.5333,0.0000,167,False
680,4.8058,4.5619,0.8840,0.2342,0.8525,12.0063,0.0000,165,False
681,4.8356,4.5627,0.9633,0.7773,0.5689,11.1250,0.0000,166,False
682,4.8125,4.5539,0.9146,0.1112,0.9078,11.6338,0.0000,164,False
683,4.8012,4.5262,0.9057,0.7117,0.5601,10.1949,0.0000,165,False
684,4.8193,4.5737,0.8690,0.2204,0.8406,11.3865,0.0000,164,False
685,4.8281,4.5946,0.8522,0.3993,0.7529,12.1959,0.0000,166,False
686,4.8611,4.5831,0.9718,0.7826,0.5762,10.1022,0.0070,166,False
687,4.8536,4.6237,0.8354,0.3663,0.7508,11.9540,0.0000,166,False
688,4.8160,4.5704,0.8764,0.5642,0.6706,11.6457,0.0000,163,False
689,4.8667,4.6262,0.8754,0.4376,0.7582,12.1324,0.0000,167,False
690,4.7783,4.5377,0.9248,0.7021,0.6019,11.5155,0.0000,163,False
691,4.7838,4.5221,0.8812,0.6594,0.5845,11.2561,0.0068,163,False
692,4.8337,4.5942,0.8876,0.1034,0.8815,11.0619,0.0026,164,False
693,4.8706,4.6330,0.9012,0.2781,0.8573,11.6219,0.0000,166,False
694,4.7773,4.5341,0.8538,0.2713,0.8096,12.4761,0.0014,165,False
695,4.8007,4.5503,0.8119,0.2834,0.7608,12.2268,0.0000,166,False
696,4.7895,4.5563,0.8565,0.2717,0.8123,11.1631,0.0000,164,False
697,4.7393,4.4443,0.9731,0.8384,0.4941,10.4770,0.0000,162,False
698,4.8231,4.5773,0.8524,0.4723,0.7095,11.4295,0.0045,166,False
699,4.8068,4.5957,0.8629,0.2040,0.8385,11.0899,0.0000,163,False
700,4.7979,4.5302,0.9264,-0.1283,0.9174,10.9528,0.0000,164,False
701,4.8231,4.5691,0.9028,0.2620,0.8640,11.5421,0.0000,165,False
702,4.8297,4.5608,0.9495,-0.2159,0.9247,10.5405,0.0000,166,False
703,4.8424,4.5985,0.8682,0.3767,0.7822,12.1085,0.0000,169,False
704,4.7965,4.5595,0.8660,0.1921,0.8445,11.5448,0.0000,164,False
705,4.8403,4.5903,0.8707,0.1704,0.8539,11.5869,0.0000,166,False
706,4.8432,4.6114,0.8619,0.5282,0.6810,11.5748,0.0000,166,False
707,4.8159,4.6020,0.8943,-0.0230,0.8940,10.5827,0.0000,165,False
708,4.8039,4.5686,0.8776,0.3438,0.8074,12.3091,0.0000,165,False
709,4.8039,4.5129,0.9679,0.7939,0.5536,11.1719,0.0000,164,False
710,4.8018,4.5471,0.9511,0.6799,0.6650,11.8683,0.0000,163,False
711,4.7889,4.5074,0.9668,0.7960,0.5487,11.0059,0.0068,165,False
712,4.7924,4.5591,0.9006,0.4486,0.7809,11.6786,0.0000,165,False
713,4.8041,4.5587,0.8703,0.1802,0.8515,11.1745,0.0000,163,False
714,4.8031,4.4573,1.0996,0.9683,0.5211,10.4844,0.0000,168,False
715,4.8064,4.5553,0.8603,0.3757,0.7739,11.9201,0.0004,166,False
716,4.8439,4.6108,0.8907,0.4351,0.7772,11.5744,0.0094,165,False
717,4.8677,4.6141,0.8882,0.4967,0.7364,11.8987,0.0023,167,False
718,4.8199,4.5478,0.9521,0.7236,0.6188,10.9890,0.0000,165,False
719,4.7828,4.5570,0.9010,0.1240,0.8924,11.7898,0.0000,165,False
720,4.8513,4.6187,0.8535,0.4430,0.7295,11.9181,0.0000,166,False
721,4.8005,4.5672,0.8886,0.0866,0.8844,11.6795,0.0000,165,False
722,4.7739,4.5178,0.8717,0.1319,0.8616,12.2618,0.0000,166,False
723,4.8102,4.5631,0.8636,0.3967,0.7671,11.6971,0.0095,164,False
724,4.7570,4.5014,0.8989,0.6153,0.6553,11.2630,0.0073,162,False
725,4.7465,4.4737,0.9534,0.7507,0.5876,10.9620,0.0000,161,False
726,4.8746,4.6198,0.9200,0.5938,0.7027,11.7100,0.0000,165,False
727,4.7793,4.4978,0.9551,0.7776,0.5545,11.2571,0.0000,164,False
728,4.8442,4.6054,0.8561,0.5016,0.6937,11.7089,0.0000,166,False
729,4.8679,4.6231,0.8914,0.4334,0.7790,12.0553,0.0000,168,False
730,4.8711,4.5589,0.9534,0.7261,0.6178,11.3102,0.0000,165,False
731,4.7516,4.4758,0.9092,0.7782,0.4702,10.7262,0.0000,165,False
732,4.8556,4.6217,0.8816,0.3804,0.7953,11.4374,0.0000,166,False
733,4.7443,4.4990,0.7758,0.1638,0.7583,11.6045,0.0046,165,False
734,4.8077,4.5463,0.8873,0.6318,0.6229,11.2460,0.0083,163,False
735,4.8417,4.1153,1.2294,-1.0272,0.6754,10.4197,0.0000,210,False
736,4.8077,4.5309,0.9041,0.5298,0.7327,11.7586,0.0000,163,False
737,4.8111,4.5677,0.8683,0.4171,0.7615,11.2331,0.0000,164,False
738,4.8690,4.5802,1.0046,0.8090,0.5955,10.9031,0.0000,165,False
739,4.8008,4.5770,0.8124,0.4321,0.6880,11.7058,0.0000,164,False
740,4.8093,4.5518,0.9074,0.6662,0.6160,11.2693,0.0099,164,False
741,4.8501,4.5973,0.8847,0.6415,0.6093,11.2535,0.0000,166,False
742,4.7630,4.4323,1.0606,0.9293,0.5113,10.6908,0.0054,164,False
743,4.7893,4.5480,0.8607,0.2733,0.8161,10.8598,0.0027,163,False
744,4.8224,4.5754,0.8713,0.6449,0.5858,11.6694,0.0000,165,False
745,4.8264,4.5152,0.9759,0.7919,0.5702,11.1830,0.0000,164,False
746,4.7537,4.5216,0.9060,0.5363,0.7302,11.5327,0.0005,161,False
747,4.7518,4.5136,0.9059,0.2808,0.8613,12.1309,0.0019,163,False
748,4.8203,4.5771,0.8832,0.4111,0.7817,11.5767,0.0000,164,False
749,4.8470,4.5765,0.9255,0.7298,0.5691,11.3369,0.0000,166,False
750,4.8538,4.6208,0.9138,0.3491,0.8445,10.8706,0.0000,165,False
751,4.8028,4.5427,0.9785,0.7450,0.6344,11.2258,0.0091,164,False
752,4.8002,4.5684,0.8750,0.2142,0.8483,11.3623,0.0000,164,False
753,4.8674,4.6264,0.8981,0.2202,0.8707,10.9666,0.0000,168,False
754,4.7812,4.5402,0.8908,0.2631,0.8511,11.5108,0.0000,164,False
755,4.8185,4.5780,0.8038,0.3936,0.7008,12.7945,0.0000,167,False
756,4.7761,4.5323,0.8840,0.4453,0.7637,11.0684,0.0000,162,False
757,4.8049,4.3725,1.0897,-0.8511,0.6804,9.2785,0.0000,163,False
758,4.8463,4.5865,0.9154,0.2011,0.8930,11.4036,0.0000,165,False
759,4.8743,4.6238,0.8602,0.3453,0.7878,12.4412,0.0000,169,False
760,4.7446,4.4983,0.9062,0.6190,0.6618,11.2337,0.0000,162,False
761,4.8307,4.6072,0.8529,0.1693,0.8359,11.6148,0.0000,166,False
762,4.8184,4.5740,0.8327,0.3446,0.7580,11.9301,0.0000,168,False
763,4.8214,3.9692,1.2593,-1.0636,0.6742,12.1205,0.0086,223,False
764,4.7567,4.5150,0.8708,0.4187,0.7635,11.4274,0.0000,162,False
765,4.8638,4.6191,0.8887,0.2617,0.8493,11.6969,0.0000,166,False
766,4.8324,4.6055,0.8717,0.1646,0.8560,11.1823,0.0000,165,False
767,4.8166,4.5834,0.8595,0.4680,0.7209,12.0139,0.0097,165,False
768,4.8270,4.5182,1.0018,0.8036,0.5982,10.6330,0.0000,166,False
769,4.8657,4.5941,0.8822,0.5390,0.6983,12.0987,0.0000,166,False
770,4.8512,4.6214,0.8727,0.2059,0.8480,12.3561,0.0000,168,False
771,4.7861,4.5301,0.8663,0.6966,0.5151,10.7047,0.0000,165,False
772,4.7930,4.5573,0.8184,0.4232,0.7005,12.3651,0.0000,163,False
773,4.8565,4.6202,0.8707,0.4572,0.7410,12.2501,0.0000,166,False
774,4.8475,4.5264,0.9879,0.8757,0.4573,10.8237,0.0000,167,False
775,4.8282,4.5822,0.8669,0.1885,0.8461,10.9269,0.0000,165,False
776,4.8042,4.5600,0.8782,-0.0019,0.8782,10.8560,0.0000,165,False
777,4.8334,4.6208,0.8522,0.3767,0.7645,11.1754,0.0000,164,False
778,4.8152,4.5717,0.9183,0.6463,0.6524,11.0921,0.0001,163,False
779,4.8323,4.5894,0.8544,0.2465,0.8181,11.7183,0.0000,166,False
780,4.8213,4.5602,0.9453,0.7303,0.6003,10.9890,0.0000,164,False
