TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
83337,5.0821,-0.7802,1.3564,-0.9121,-1.0040,26.0510,0.0000,52,False
83338,4.5654,1.6109,2.8067,-2.1828,1.7644,13.3237,0.0000,49,False
83339,5.0577,0.0162,0.3402,-0.3399,-0.0143,22.5984,0.0000,51,False
83340,4.8653,-0.0735,2.3077,-1.1374,-2.0079,23.7785,0.0000,51,False
83341,4.7004,-0.2838,1.2583,-0.7638,1.0000,17.2973,0.0000,50,False
83342,5.7459,1.3925,3.9578,-2.2550,-3.2525,18.4666,0.0000,55,False
83343,4.9092,-0.0090,0.4726,-0.4668,-0.0739,17.9999,0.0000,50,False
83344,3.9950,-1.5528,1.9800,-1.9682,-0.2155,21.8833,0.0000,50,False
83345,5.5435,-1.7868,2.6952,-1.2855,-2.3689,20.5272,0.0000,55,False
83346,5.1163,0.9128,0.7041,-0.6675,0.2243,20.0350,0.0000,49,False
83347,4.9625,-1.5053,0.9111,-0.8626,0.2935,20.9649,0.0000,48,False
83348,4.5111,1.4827,3.7470,-2.9884,-2.2603,21.8222,0.0000,49,False
83349,3.8963,-0.1311,2.0433,-1.6555,-1.1977,21.1650,0.0000,46,False
83350,4.7403,-0.8120,2.3565,-1.8512,-1.4581,18.3114,0.0000,51,False
83351,4.6669,-0.6052,1.4666,-1.1004,-0.9696,14.5563,0.0000,41,False
83352,4.7300,2.0595,1.3433,-1.3413,0.0726,20.1892,0.0000,47,False
83353,5.4023,-1.8961,1.5234,-1.2908,-0.8090,23.4659,0.0000,52,False
83354,5.2093,1.3336,0.5125,-0.4763,-0.1894,19.2810,0.0000,48,False
83355,5.5954,0.2043,1.0032,0.1681,-0.9890,20.5696,0.0000,47,False
83356,5.5439,0.0142,1.0913,-1.0625,-0.2493,26.6942,0.0000,52,False
83357,4.3134,-1.3149,1.5482,-1.3478,-0.7618,24.0857,0.0000,50,False
83358,5.1373,-1.6921,2.6337,-2.2268,1.4063,21.5923,0.0000,54,False
83359,3.3249,0.6037,2.5493,-2.4957,-0.5200,22.5073,0.0000,51,False
83360,4.7659,0.2166,2.9873,-1.8944,-2.3099,19.7496,0.0000,52,False
83361,5.2539,0.2840,0.6698,-0.5496,0.3828,17.9699,0.0000,50,False
83362,5.2478,2.6617,1.3717,-1.3670,0.1140,17.3501,0.0000,47,False
83363,5.1876,0.2637,0.8498,-0.5466,0.6507,22.0084,0.0000,57,False
83364,4.7876,-0.9266,1.0651,-0.7424,0.7637,20.3353,0.0000,50,False
83365,5.2185,1.5974,4.1322,-2.9310,-2.9128,20.3743,0.0000,49,False
83366,5.4864,-2.5079,3.8221,-2.4763,2.9114,22.0859,0.0000,55,False
